ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-457317,MapQuest,201.0,3,2017-06-30 23:55:28,2017-07-01 00:24:51,37.324795,-121.886742,,,0.0,Right hand shoulder blocked due to accident on I-280 Southbound at CA-87 Guadalupe Pkwy.,,I-280 S,R,San Jose,Santa Clara,CA,95110,US,US/Pacific,KSJC,2017-06-30 23:53:00,59.0,,81.0,29.96,10.0,NNW,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-457318,MapQuest,241.0,3,2017-06-30 23:50:33,2017-07-01 00:19:43,37.367962,-121.84600800000001,,,0.0,Lane blocked due to accident on I-680 Southbound at Exit 2B McKee Rd. Expect delays.,,I-680 N,R,San Jose,Santa Clara,CA,95116,US,US/Pacific,KRHV,2017-06-30 21:47:00,62.6,,68.0,29.96,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-457314,MapQuest,201.0,3,2017-06-30 21:50:14,2017-06-30 22:19:48,37.895218,-122.30824299999999,,,0.0,Fast lane blocked due to accident on I-580 Westbound at Exit 13 I-80.,,Eastshore Fwy W,R,Berkeley,Alameda,CA,94710,US,US/Pacific,KOAK,2017-06-30 21:53:00,59.0,,81.0,29.94,10.0,West,19.6,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-457312,MapQuest,201.0,3,2017-06-30 21:47:32,2017-06-30 22:16:57,38.290943,-122.03476,,,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exit 48 Hilborn Rd.,,I-80 E,R,Fairfield,Solano,CA,94533,US,US/Pacific,KSUU,2017-06-30 21:58:00,64.4,,63.0,29.81,10.0,WSW,26.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-457311,MapQuest,201.0,3,2017-06-30 21:46:39,2017-06-30 22:16:11,38.27565,-122.047577,,,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exits 47 47A 47B Waterman Blvd.,,I-80 E,R,Fairfield,Solano,CA,94533,US,US/Pacific,KSUU,2017-06-30 21:58:00,64.4,,63.0,29.81,10.0,WSW,26.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-2705220,Bing,,2,2017-06-30 21:45:59,2017-07-01 03:45:59,37.93734,-122.32602,37.93988,-122.32471000000001,0.18899999999999997,At San Pablo Ave - Accident.,,San Pablo Ave,R,Richmond,Contra Costa,CA,94805,US,US/Pacific,KCCR,2017-06-30 21:53:00,62.1,,70.0,29.84,10.0,SSW,21.9,,Clear,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day
A-457310,MapQuest,201.0,3,2017-06-30 21:45:44,2017-06-30 22:15:07,37.932659,-122.325897,,,0.0,1st lane blocked due to accident on I-80 Eastbound at Exit 16A MacDonald Ave.,,MacDonald Ave,R,Richmond,Contra Costa,CA,94805,US,US/Pacific,KCCR,2017-06-30 21:53:00,62.1,,70.0,29.84,10.0,SSW,21.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-2705219,Bing,,3,2017-06-30 21:30:15,2017-07-01 03:30:15,37.3721,-121.85043999999999,37.36303,-121.84321000000001,0.742,Between McKee Rd and Alum Rock Ave - Accident.,,I-680 S,R,San Jose,Santa Clara,CA,95133,US,US/Pacific,KRHV,2017-06-30 21:47:00,62.6,,68.0,29.96,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-457306,MapQuest,201.0,3,2017-06-30 21:22:26,2017-06-30 21:49:03,38.087914000000005,-122.231766,,,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exits 30A 30B I-780.,,I-80 E,R,Vallejo,Solano,CA,94591,US,US/Pacific,KAPC,2017-06-30 20:54:00,64.9,,68.0,29.85,10.0,SSW,17.3,0.0,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-2699742,Bing,,2,2017-06-30 20:32:30,2017-07-01 02:32:30,43.235279999999996,-71.478238,43.228048,-71.495474,1.001,At RT-132/East Side Dr/Exit 2 - Accident. 2 lanes closed.,,US-202 W,R,Concord,Merrimack,NH,03301,US,US/Eastern,KCON,2017-06-30 20:27:00,70.0,,97.0,29.93,2.0,SSE,9.2,0.18,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
