ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longtitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
400001,101,N,4,85,68000.0,38.26,387.897,37.364084999999996,-121.901149,0.265,ML,5,NB 880 rm-n-loop,DT697,L5-N-37-101-03826,998145.0,426518
400017,85,S,4,85,68000.0,10.07,10.07,37.253303,-121.94543999999999,0.43,ML,4,BASCOM AVE,DT551,L4-S-37-085-01007,998071.0,419898
400030,880,S,4,85,68000.0,3.64,3.64,37.359087,-121.90653799999998,0.25,ML,4,N First St rm-s-loop,DT969,L4-S-37-880-00364,880130.0,421412
400040,87,S,4,85,68000.0,2.87,2.86,37.294949,-121.87310900000001,0.44,ML,3,Curtner Ave rm-s-loop,DT643,L3-S-37-087-00287,87114.0,417982
400045,880,N,4,85,68000.0,4.02,4.02,37.363402,-121.90223300000001,0.3,ML,4,SB 101 rm-n-loop,DT974,L4-N-37-880-00402,998313.0,421007
400052,85,N,4,85,68000.0,6.09,6.09,37.255936,-121.87458400000001,0.555,ML,3,Almaden Expwy  rm-n-loop,DT490,L3-N-37-085-00609,998057.0,420822
400057,880,N,4,85,68000.0,1.33,1.33,37.335021999999995,-121.93552199999999,0.75,ML,3,Bascom Ave rm-n-diag,DT960,L3-N-37-880-00133,880111.0,420987
400059,85,S,4,85,68000.0,7.97,7.97,37.250481,-121.907735,1.005,ML,3,Camden Ave rm-s-diag,DT529,L3-S-37-085-00797,998063.0,421242
400065,87,S,4,85,68000.0,4.9,4.89,37.320291999999995,-121.890281,0.45,ML,2,NB & SB 280  rm-s-conn,DT660,L2-S-37-087-00490,998111.0,417994
400069,101,S,4,85,69084.0,42.77,392.44300000000004,37.385758,-121.977493,0.36,ML,4,Great America Pkwy rm-s-diag,DT084,L4-S-37-101-04277,998175.0,424570
400073,17,S,4,85,44112.0,9.4,21.953000000000003,37.2563,-121.95555900000001,0.465,ML,2,NB 85 rm-s-loop/conn,DT257,L2-S-37-017-00940,998015.0,417549
400084,280,S,4,85,17610.0,8.22,9.602,37.329258,-122.01205300000001,0.665,ML,4,Wolfe Rd rm-s-loop,DT910,L4-S-37-280-00822,998263.0,419412
400085,85,S,4,85,68000.0,6.1,6.1,37.255594,-121.87471000000001,0.495,ML,3,ALMADEN EXPWY,DT489,L3-S-37-085-00610,998055.0,421232
400088,880,N,4,85,47766.0,7.65,7.65,37.414988,-121.91268500000001,0.55,ML,4,Great Mall Pkwy rm-n-loop,DT065,L4-N-37-880-00765,998325.0,421022
400096,237,W,4,85,69084.0,R6.17,6.227,37.417981,-121.97254699999999,0.522,ML,3,oppo Great America Pkwy,DT852,L3-W-37-237-R0617,998246.0,418926
400097,85,S,4,85,70280.0,13.93,14.106,37.279012,-122.01061399999999,0.755,ML,3,Saratoga Ave  rm-n-diag,DT595,L3-S-37-085-01393,998084.0,421277
400100,17,S,4,85,10340.0,12.39,24.943,37.295052,-121.938872,1.6340000000000001,ML,3,Hamilton Ave rm-n-loop,DT755,l3-S-37-017-01239,998027.0,421197
400104,237,E,4,85,68000.0,7.11,7.162000000000001,37.419313,-121.95548000000001,0.665,ML,3,NORTH FIRST STREET,DT814,L3-E-37-237-00711,998233.0,420567
400109,101,S,4,85,68000.0,37.61,387.283,37.362706,-121.889426,0.785,ML,4,N 13th St/Oakland Rd rm-s-diag,DT027,L4-S-37-101-03761,998139.0,424540
400122,880,N,4,85,68000.0,4.21,4.21,37.36614,-121.901132,0.24,ML,3,NB 101 rm-n-diag,DT975,L3-N-37-880-00421,998317.0,421012
400147,880,N,4,85,68000.0,2.04,2.04,37.342209999999994,-121.926305,0.685,ML,3,The Alameda rm-n-loop,DT963,L3-N-37-880-00204,998295.0,420992
